trkpt - lon,trkpt - lat,trkpt - ele,trkpt - time,time,Day
-58.474903,-34.574028,14.408651,2015-10-24T11:25:16.830-03:00,11:25:16:2516,2015-10-24
-58.474796,-34.573967,13.516417,2015-10-24T11:25:20.888-03:00,11:25:20:2520,2015-10-24
-58.47469,-34.573914,11.853567,2015-10-24T11:25:24.945-03:00,11:25:24:2524,2015-10-24
-58.474586,-34.573875,11.056302,2015-10-24T11:25:29.002-03:00,11:25:29:2529,2015-10-24
-58.474483,-34.573822,10.996698,2015-10-24T11:25:33.059-03:00,11:25:33:2533,2015-10-24
-58.47445,-34.573727,10.936383,2015-10-24T11:25:37.117-03:00,11:25:37:2537,2015-10-24
-58.474487,-34.573635,10.876724,2015-10-24T11:25:41.174-03:00,11:25:41:2541,2015-10-24
-58.47458,-34.57355,10.808411,2015-10-24T11:25:45.231-03:00,11:25:45:2545,2015-10-24
-58.474667,-34.573483,10.746944,2015-10-24T11:25:49.289-03:00,11:25:49:2549,2015-10-24
-58.474747,-34.573414,10.689806,2015-10-24T11:25:53.346-03:00,11:25:53:2553,2015-10-24
-58.474834,-34.57333,10.622369,2015-10-24T11:25:57.403-03:00,11:25:57:2557,2015-10-24
-58.474907,-34.573254,9.931376,2015-10-24T11:26:01.460-03:00,11:26:01:261,2015-10-24
-58.47497,-34.573162,9.370773,2015-10-24T11:26:05.518-03:00,11:26:05:265,2015-10-24
-58.47506,-34.573074,9.284275,2015-10-24T11:26:09.575-03:00,11:26:09:269,2015-10-24
-58.47517,-34.57306,10.297833,2015-10-24T11:26:13.632-03:00,11:26:13:2613,2015-10-24
-58.47526,-34.57312,11.355458,2015-10-24T11:26:17.690-03:00,11:26:17:2617,2015-10-24
-58.47537,-34.57319,12.5756445,2015-10-24T11:26:21.747-03:00,11:26:21:2621,2015-10-24
-58.475475,-34.573254,13.754701,2015-10-24T11:26:25.804-03:00,11:26:25:2625,2015-10-24
-58.475567,-34.573307,14.755528,2015-10-24T11:26:29.861-03:00,11:26:29:2629,2015-10-24
-58.475666,-34.573357,15.02969,2015-10-24T11:26:33.919-03:00,11:26:33:2633,2015-10-24
-58.475777,-34.573414,15.220961,2015-10-24T11:26:37.976-03:00,11:26:37:2637,2015-10-24
-58.47585,-34.573494,15.542663,2015-10-24T11:26:42.033-03:00,11:26:42:2642,2015-10-24
-58.47581,-34.573597,15.868252,2015-10-24T11:26:46.090-03:00,11:26:46:2646,2015-10-24
-58.475735,-34.57369,16.29778,2015-10-24T11:26:50.148-03:00,11:26:50:2650,2015-10-24
-58.475666,-34.57377,17.039976,2015-10-24T11:26:54.205-03:00,11:26:54:2654,2015-10-24
-58.47558,-34.573853,17.752058,2015-10-24T11:26:58.262-03:00,11:26:58:2658,2015-10-24
-58.475494,-34.57394,18.07605,2015-10-24T11:27:02.320-03:00,11:27:02:272,2015-10-24
-58.47542,-34.574024,17.291733,2015-10-24T11:27:06.377-03:00,11:27:06:276,2015-10-24
-58.475327,-34.574104,16.457542,2015-10-24T11:27:10.434-03:00,11:27:10:2710,2015-10-24
-58.475227,-34.574142,15.749744,2015-10-24T11:27:14.491-03:00,11:27:14:2714,2015-10-24
-58.475117,-34.574146,15.054928,2015-10-24T11:27:18.549-03:00,11:27:18:2718,2015-10-24
-58.474987,-34.5741,14.183845,2015-10-24T11:27:22.606-03:00,11:27:22:2722,2015-10-24
-58.47488,-34.574074,13.486295,2015-10-24T11:27:26.663-03:00,11:27:26:2726,2015-10-24
-58.474747,-34.57403,12.588566,2015-10-24T11:27:30.721-03:00,11:27:30:2730,2015-10-24
-58.474644,-34.573963,11.34938,2015-10-24T11:27:34.778-03:00,11:27:34:2734,2015-10-24
-58.47456,-34.5739,10.803357,2015-10-24T11:27:38.835-03:00,11:27:38:2738,2015-10-24
-58.47448,-34.57382,10.607661,2015-10-24T11:27:42.892-03:00,11:27:42:2742,2015-10-24
-58.474464,-34.573715,10.360092,2015-10-24T11:27:46.950-03:00,11:27:46:2746,2015-10-24
